Prefecture,Prefecture (ja),Cases,Recovered,Deaths,Deaths (Calculated),NHK Difference
Total,計,3846,583,91,92,
Aichi,愛知県,228,48,20,20,
Akita,秋田県,11,2,,0,
Aomori,青森県,11,,,0,
Chiba,千葉県,261,31,1,1,
Ehime,愛媛県,20,3,1,1,
Fukui,福井県,59,1,1,1,
Fukuoka,福岡県,162,5,1,1,
Fukushima,福島県,14,1,,0,
Gifu,岐阜県,58,2,1,1,
Gunma,群馬県,26,,1,1,
Hiroshima,広島県,14,1,,0,
Hokkaido,北海道,191,130,7,7,-2
Hyogo,兵庫県,203,51,13,13,
Ibaraki,茨城県,64,2,2,2,
Ishikawa,石川県,43,5,,0,
Iwate,岩手県,0,,,0,
Kagawa,香川県,2,,,0,
Kagoshima,鹿児島県,3,,,0,
Kanagawa,神奈川県,268,32,6,6,
Kochi,高知県,33,12,,0,
Kumamoto,熊本県,20,3,,0,1
Kyoto,京都府,116,18,,0,
Mie,三重県,13,4,,0,
Miyagi,宮城県,23,1,,0,
Miyazaki,宮崎県,8,2,,0,
Nagano,長野県,13,4,,0,
Nagasaki,長崎県,12,2,,0,
Nara,奈良県,24,8,,0,
Niigata,新潟県,35,11,,0,
Oita,大分県,32,6,,0,
Okayama,岡山県,11,,,0,
Okinawa,沖縄県,25,2,,0,3
Osaka,大阪府,408,73,3,3,
Saga,佐賀県,8,,,0,
Saitama,埼玉県,173,31,3,4,
Shiga,滋賀県,18,3,,0,
Shimane,島根県,0,,,0,
Shizuoka,静岡県,17,3,,0,
Tochigi,栃木県,17,2,,0,
Tokushima,徳島県,3,1,,0,
Tokyo,東京都,1034,51,30,30,
Tottori,鳥取県,0,,,0,
Toyama,富山県,11,,,0,
Unspecified,不明,15,11,,0,
Wakayama,和歌山県,24,15,1,1,
Yamagata,山形県,10,,,0,
Yamaguchi,山口県,12,3,,0,
Yamanashi,山梨県,15,2,,0,
Port Quarantine,空港検疫,78,1,,0,-3
